time,id,uptime,solar_v,solar_ma,bat_v,bat_ma,load_v,load_ma,bat_temp,solar_temp,lux,wp,solar_p,bat_p,bat_solar,solar_p_norm,solar_panel
2020-12-27 09:45:00,7025.0,61359.22222222222,19.81052888888889,7.511111111111112,10.967231111111111,1.2,10.960124444444444,54.62222222222221,21.40972222222222,20.354166666666668,4766.72,37.65708666666667,148.799083654321,13.160677333333334,0.08844595685755191,0.9886982302612691,0.026255303258402245
2020-12-27 09:50:00,7034.5,61664.0,19.704736,7.360000000000001,10.96652,1.1999999999999997,10.95682,56.11999999999999,21.36875,20.35625,4409.856000000001,34.83786299999999,145.02685696000003,13.159823999999997,0.09074059988509313,0.9636336010631231,0.027660525591455577
2020-12-27 09:55:00,7042.5,61938.333333333336,19.602053333333334,7.2,10.950786666666668,1.2,10.944673333333332,100.2,21.375,20.28125,4124.16,32.58086333333333,141.134784,13.140944000000001,0.09310917994532093,0.9377726511627906,0.028782928235156977
2020-12-27 10:00:00,7050.0,62264.0,19.893204444444443,7.6000000000000005,10.893453333333333,1.2,10.884248888888889,265.02222222222224,21.42361111111111,20.25,4958.719999999999,39.17388555555556,151.18835377777776,13.072144,0.08646263864486493,1.0045737792543372,0.025643965744211725
2020-12-27 10:05:00,7059.5,62568.0,20.01436,7.6,10.885720000000001,1.1999999999999997,10.876864000000001,264.71999999999997,21.43125,20.38125,5430.527999999999,42.901168999999996,152.10913599999998,13.062863999999998,0.08587823416471184,1.0106919335548172,0.02355861057200603
2020-12-27 10:10:00,7069.0,62872.22222222222,20.098537777777782,7.6000000000000005,10.877453333333333,1.2,10.870600000000003,261.6444444444444,21.444444444444443,20.45138888888889,5760.0,45.50399777777778,152.74888711111115,13.052944,0.08545361113174692,1.0149427715023995,0.022304474794916908
2020-12-27 10:15:00,7078.0,63165.11111111111,20.242537777777773,7.6000000000000005,10.873008888888888,1.2,10.865964444444444,259.46666666666664,21.430555555555557,20.6875,6435.84,50.84313222222222,153.8432871111111,13.047610666666666,0.08481104968358624,1.0222145322997416,0.020105262748799688
2020-12-27 10:20:00,7087.5,63469.0,20.079159999999998,7.6,10.864920000000001,1.1999999999999997,10.857464,262.64,21.46875,20.9,5812.992,45.922637,152.60161599999998,13.037904,0.08543752249648523,1.0139642259136212,0.02207983452504309
2020-12-27 10:25:00,7097.0,63773.0,19.836315555555554,7.6000000000000005,10.858786666666667,1.2,10.850462222222221,265.1111111111111,21.54861111111111,20.881944444444443,4928.0,38.93119888888888,150.75599822222222,13.030544,0.08643466365293338,1.001700984865264,0.025730031785667754
2020-12-27 10:30:00,7106.0,64061.0,19.871871111111112,7.6000000000000005,10.857008888888892,1.2,10.849186666666666,251.73333333333338,21.618055555555557,20.833333333333332,5040.64,39.82105444444444,151.02622044444445,13.02841066666667,0.086265885674198,1.003496481358435,0.025200148397839222
2020-12-27 10:35:00,7115.5,64364.3,20.003960000000003,7.6,10.84972,1.1999999999999997,10.842324000000001,255.2,21.6875,20.79375,5472.0,43.228798000000005,152.03009600000001,13.019663999999997,0.08563872774243328,1.010166750830565,0.02336791207635625
2020-12-27 10:40:00,7125.0,64668.11111111111,20.10476,7.6000000000000005,10.845453333333332,1.2,10.837755555555557,252.93333333333334,21.71527777777778,20.86111111111111,5872.6399999999985,46.393856666666665,152.796176,13.014543999999997,0.08517584890344375,1.0152569833887044,0.02188343578942322
